😀	にこ
🧜	にんぎょ
🧝	えるふ
🧞	じん
🧟	ぞんび
🧌	とろーる
💆	まっさーじ
💇	かっと
🚶	あるく
🧍	たつ
🧎	ひざまずく
🏃	はしる
💃	おどる
🕺	おどる
👯	うさぎ
🧖	さうな
🧗	のぼる
🤺	ふぇんしんぐ
🏇	きゅうば
⛷️	すきー
🏂	すのーぼーど
🏄	さーふぃん
🚣	ぼーと
🏊	およぐ
⛹️	ばすけっと
🚴	じてんしゃ
🚵	まうんてんばいく
🤸	てつぼう
🤼	れすりんぐ
🤽	すいえい
🤾	はんどぼーる
🤹	じゃぐりんぐ
🧘	よが
🛀	おふろ
🛌	ねる
👭	おんな
👫	おとことおんな
👬	おとこ
💏	きす
💑	かっぷる
👤	ひと
👥	ひとたち
🫂	だっき
👪	かぞく
👣	あしあと
🫆	にんしん
🐵	さる
🐒	さる
🦍	ごりら
🦧	おらんうーたん
🐶	いぬ
🐕	いぬ
🦮	いぬ
🐩	いぬ
🐺	おおかみ
🦊	きつね
🦝	たぬき
🐱	ねこ
🐈	ねこ
🦁	らいおん
🐯	とら
🐅	とら
🐆	ひょう
🐴	うま
🫎	しか
🫏	ろば
🐎	うま
🦄	ゆにこーん
🦓	しまうま
🦌	しか
🦬	ばいそん
🐮	うし
🐂	うし
🐃	すいぎゅう
🐄	うし
🐷	ぶた
🐖	ぶた
🐗	いのしし
🐽	ぶた
🐏	ひつじ
🐑	ひつじ
🐐	やぎ
🐪	らくだ
🐫	らくだ
🦙	らま
🦒	きりん
🐘	ぞう
🦣	まんもす
🦏	さい
🦛	かば
🐭	ねずみ
🐁	ねずみ
🐀	ねずみ
🐹	はむすたー
🐰	うさぎ
🐇	うさぎ
🦫	びーばー
🦔	はりねずみ
🦇	こうもり
🐻	くま
🐨	こあら
🐼	ぱんだ
🦥	なまけもの
🦦	かわうそ
🦨	すかんく
🦘	かんがるー
🦡	あなぐま
🐾	あしあと
🦃	しちめんちょう
🐔	にわとり
🐓	にわとり
🐣	ひよこ
🐤	ひよこ
🐥	ひよこ
🐦	とり
🐧	ぺんぎん
🦅	わし
🦆	あひる
🦢	はくちょう
🦉	ふくろう
🦤	どーどー
🪶	はね
🦩	ふらみんご
🦚	くじゃく
🦜	おうむ
🪽	はね
🪿	がちょう
🐸	かえる
🐊	わに
🐢	かめ
🦎	とかげ
🐍	へび
🐲	りゅう
🐉	りゅう
🦕	きょうりゅう
🦖	きょうりゅう
🐳	くじら
🐋	くじら
🐬	いるか
🦭	あざらし
🐟	さかな
🐠	さかな
🐡	ふぐ
🦈	さめ
🐙	たこ
🐚	かい
🪸	さんご
🪼	くらげ
🦀	かに
🦞	ろぶすたー
🦐	えび
🦑	いか
🦪	かき
🐌	かたつむり
🦋	ちょう
🐛	むし
🐜	あり
🐝	はち
🪲	かぶとむし
🐞	てんとうむし
🦗	こおろぎ
🪳	ごきぶり
🦂	さそり
🦟	か
🪰	はえ
🪱	みみず
🦠	ういるす
💐	はな
🌸	さくら
💮	はな
🪷	はす
🌹	ばら
🥀	しおれたはな
🌺	はいびすかす
🌻	ひまわり
🌼	はな
🌷	ちゅーりっぷ
🪻	ゆり
🌱	め
🪴	はな
🌲	もみのき
🌳	き
🌴	やし
🌵	さぼてん
🌾	いね
🌿	は
☘️	くろーばー
🍀	よつば
🍁	もみじ
🍂	おちば
🍃	は
🪹	す
🪺	たまご
🍄	きのこ
🪾	はな
🍇	ぶどう
🍈	めろん
🍉	すいか
🍊	みかん
🍋	れもん
🍌	ばなな
🍍	ぱいなっぷる
🥭	まんごー
🍎	りんご
🍏	りんご
🍐	なし
🍑	もも
🍒	さくらんぼ
🍓	いちご
🫐	ぶるーべりー
🥝	きうい
🍅	とまと
🫒	おりーぶ
🥥	ここなっつ
🥑	あぼかど
🍆	なす
🥔	じゃがいも
🥕	にんじん
🌽	とうもろこし
🫑	ぴーまん
🥒	きゅうり
🥬	はくさい
🥦	ぶろっこりー
🧄	にんにく
🧅	たまねぎ
🥜	ぴーなっつ
🫘	まめ
🌰	くり
🫚	しょうが
🫛	えんどう
🫜	かぶ
🍞	ぱん
🥐	くろわっさん
🥖	ふらんすぱん
🫓	ぱん
🥨	ぷれっつぇる
🥯	べーぐる
🥞	ぱんけーき
🧇	わっふる
🧀	ちーず
🍖	にく
🍗	とりにく
🥩	にく
🥓	べーこん
🍔	はんばーがー
🍟	ふらいどぽてと
🍕	ぴざ
🌭	ほっとどっぐ
🥪	さんどいっち
🌮	たこす
🌯	ぶりとー
🫔	たまる
🥙	ぴた
🧆	ふぁらふぇる
🥚	たまご
🍳	たまご
🥘	なべ
🍲	なべ
🫕	ふぉんでゅ
🥣	ぼうる
🥗	さらだ
🍿	ぽっぷこーん
🧈	ばたー
🧂	しお
🥫	かんづめ
🍱	べんとう
🍘	おせんべい
🍙	おにぎり
🍚	ごはん
🍛	かれー
🍜	らーめん
🍝	ぱすた
🍠	さつまいも
🍢	おでん
🍣	すし
🍤	えび
🍥	かまぼこ
🥮	げっぺい
🍡	だんご
🥟	ぎょーざ
🥠	ふぉーちゅんくっきー
🥡	ていくあうと
🍦	あいすくりーむ
🍧	かきごおり
🍨	あいすくりーむ
🍩	どーなつ
🍪	くっきー
🎂	けーき
🍰	けーき
🧁	かっぷけーき
🥧	ぱい
🍫	ちょこれーと
🍬	あめ
🍭	あめ
🍮	ぷりん
🍯	はちみつ
🍼	ほにゅうびん
🥛	ぎゅうにゅう
☕	こーひー
🫖	てぃーぽっと
🍵	おちゃ
🍶	さけ
🍾	しゃんぱん
🍷	わいん
🍸	かくてる
🍹	かくてる
🍺	びーる
🍻	びーる
🥂	かんぱい
🥃	ういすきー
🫗	そそぐ
🥤	じゅーす
🧋	たぴおか
🧃	じゅーす
🧉	まて
🧊	こおり
🥢	はし
🍴	ないふとふぉーく
🥄	すぷーん
🔪	ないふ
🫙	びん
🏺	つぼ
🌍	ちきゅう
🌎	ちきゅう
🌏	ちきゅう
🌐	ちきゅう
🗾	にほん
🧭	こんぱす
⛰️	やま
🌋	かざん
🗻	ふじさん
🧱	れんが
🪨	いし
🪵	き
🛖	いえ
🏠	いえ
🏡	いえ
🏢	びる
🏣	ゆうびんきょく
🏤	ゆうびんきょく
🏥	びょういん
🏦	ぎんこう
🏨	ほてる
🏩	らぶほてる
🏪	こんびに
🏫	がっこう
🏬	でぱーと
🏭	こうじょう
🏯	しろ
🏰	しろ
💒	けっこんしき
🗼	とうきょうたわー
🗽	せいのうぞう
⛪	きょうかい
🕌	もすく
🛕	じいん
🕍	しなごーぐ
⛩️	じんじゃ
🕋	かーば
⛲	ふんすい
⛺	てんと
🌁	きり
🌃	よる
🌄	ひので
🌅	ひので
🌆	よる
🌇	ゆうひ
🌉	はし
♨️	おんせん
🎠	めりーごーらんど
🛝	すべりだい
🎡	かんらんしゃ
🎢	じぇっとこーすたー
💈	とこや
🎪	さーかす
🚂	でんしゃ
🚃	でんしゃ
🚄	しんかんせん
🚅	しんかんせん
🚆	でんしゃ
🚇	ちかてつ
🚈	でんしゃ
🚉	えき
🚊	でんしゃ
🚝	ものれーる
🚞	でんしゃ
🚋	でんしゃ
🚌	ばす
🚍	ばす
🚎	でんしゃばす
🚐	ばす
🚑	きゅうきゅうしゃ
🚒	しょうぼうしゃ
🚓	ぱとかー
🚔	ぱとかー
🚕	たくしー
🚖	たくしー
🚗	くるま
🚘	くるま
🚙	くるま
🛻	とらっく
🚚	とらっく
🚛	とらっく
🚜	とらくたー
🛵	すくーたー
🦽	くるまいす
🦼	くるまいす
🛺	とぅくとぅく
🚲	じてんしゃ
🛴	きっくぼーど
🛹	すけーとぼーど
🛼	ろーらーすけーと
🚏	ばすてい
⛽	がそりんすたんど
🛞	たいや
🚨	ぱとかー
🚥	しんごう
🚦	しんごう
🛑	とまれ
🚧	こうじ
⚓	いかり
🛟	うきわ
⛵	よっと
🛶	ぼーと
🚤	ぼーと
⛴️	ふぇりー
🚢	ふね
✈️	ひこうき
🛫	ひこうき
🛬	ひこうき
🪂	ぱらしゅーと
💺	せき
🚁	へりこぷたー
🚟	ものれーる
🚠	ろーぷうぇい
🚡	ろーぷうぇい
🚀	ろけっと
🛸	ゆーふぉー
🧳	にもつ
⌛	すなどけい
⏳	すなどけい
⌚	とけい
⏰	めざましどけい
⏱️	すとっぷうぉっち
⏲️	たいまー
🕛	じかん
🕧	じかん
🕐	じかん
🕜	じかん
🕑	じかん
🕝	じかん
🕒	じかん
🕞	じかん
🕓	じかん
🕟	じかん
🕔	じかん
🕠	じかん
🕕	じかん
🕡	じかん
🕖	じかん
🕢	じかん
🕗	じかん
🕣	じかん
🕘	じかん
🕤	じかん
🕙	じかん
🕥	じかん
🕚	じかん
🕦	じかん
🌑	つき
🌒	つき
🌓	つき
🌔	つき
🌕	つき
🌖	つき
🌗	つき
🌘	つき
🌙	つき
🌚	つき
🌛	つき
🌜	つき
☀️	たいよう
🌝	つき
🌞	たいよう
🪐	わくせい
⭐	ほし
🌟	ほし
🌠	ながれぼし
🌌	ぎんが
☁️	くも
⛅	くも
⛈️	かみなり
🌀	たいふう
🌈	にじ
🌂	かさ
☂️	かさ
☔	あめ
⛱️	ぱらそる
⚡	いなずま
❄️	ゆき
☃️	ゆきだるま
⛄	ゆきだるま
☄️	すいせい
🔥	ひ
💧	みず
🌊	なみ
🎃	はろうぃん
🎄	くりすます
🎆	はなび
🎇	はなび
🧨	はなび
✨	きらきら
🎈	ふうせん
🎉	おめでとう
🎊	おめでとう
🎋	たなばた
🎍	かどまつ
🎎	ひなまつり
🎏	こいのぼり
🎐	ふうりん
🎑	つきみ
🧧	おとしだま
🎀	りぼん
🎁	ぷれぜんと
🎫	ちけっと
🏆	とろふぃー
🏅	めだる
🥇	きんめだる
🥈	ぎんめだる
🥉	どうめだる
⚽	さっかー
⚾	やきゅう
🥎	そふとぼーる
🏀	ばすけっとぼーる
🏐	ばれーぼーる
🏈	あめふと
🏉	らぐびー
🎾	てにす
🥏	ふりすびー
🎳	ぼうりんぐ
🏏	くりけっと
🏑	ほっけー
🏒	あいすほっけー
🥍	らくろす
🏓	ぴんぽん
🏸	ばどみんとん
🥊	ぼくしんぐ
🥋	からて
🥅	ごーる
⛳	ごるふ
⛸️	すけーと
🎣	つり
🤿	すきゅーば
🎽	らんにんぐ
🎿	すきー
🛷	そり
🥌	かーりんぐ
🎯	だーつ
🪀	よーよー
🪁	たこ
🔫	ぴすとる
🎱	びりやーど
🔮	すいせい
🪄	まほうのつえ
🎮	げーむ
🎰	すろっと
🎲	さいころ
🧩	ぱずる
🧸	ぬいぐるみ
🪅	ぴにゃーた
🪩	みらーぼーる
🪆	まとりょーしか
♠️	すぺーど
♥️	はーと
♦️	だいや
♣️	くらぶ
♟️	ちぇす
🃏	じょーかー
🀄	まーじゃん
🎴	かるた
🎭	おんがく
🎨	え
🧵	いと
🪡	はり
🧶	いと
🪢	むすびめ
👓	めがね
🥽	ごーぐる
🥼	はかま
🦺	べすと
👔	ねくたい
👕	しゃつ
👖	じーんず
🧣	まふらー
🧤	てぶくろ
🧥	こーと
🧦	くつした
👗	わんぴーす
👘	きもの
🥻	さりー
🩱	みずぎ
🩲	ぱんつ
🩳	しょーとぱんつ
👙	びきに
👚	ふく
🪭	せんす
👛	さいふ
👜	かばん
👝	かばん
🎒	らんどせる
🩴	さんだる
👞	くつ
👟	すにーかー
🥾	ぶーつ
🥿	ぱんぷす
👠	はいひーる
👡	さんだる
🩰	ばれえ
👢	ぶーつ
🪮	かんざし
👑	かんむり
👒	ぼうし
🎩	ぼうし
🎓	がくしき
🧢	きゃっぷ
🪖	へるめっと
⛑️	へるめっと
📿	じゅず
💄	くちべに
💍	ゆびわ
💎	だいやもんど
🔇	すぴーかー
🔈	すぴーかー
🔉	すぴーかー
🔊	すぴーかー
📢	すぴーかー
📣	すぴーかー
📯	らっぱ
🔔	べる
🔕	べる
🎼	おんぷ
🎵	おんぷ
🎶	おんぷ
🎤	まいく
🎧	へっどほん
📻	らじお
🎷	さっくす
🪗	あこーでぃおん
🎸	ぎたー
🎹	ぴあの
🎺	とらんぺっと
🎻	ばいおりん
🪕	ばんじょー
🥁	どらむ
🪘	どらむ
🪇	まらかす
🪈	ふるーと
🪉	はーぷ
📱	すまほ
📲	すまほ
☎️	でんわ
📞	でんわ
📟	ぽけべる
📠	ふぁっくす
🔋	ばってりー
🪫	ばってりー
🔌	こんせんと
💻	ぱそこん
⌨️	きーぼーど
💽	でぃすく
💾	でぃすく
💿	でぃすく
📀	でぃすく
🧮	そろばん
🎥	かめら
🎬	かめら
📺	てれび
📷	かめら
📸	かめら
📹	びでおかめら
📼	びでお
🔍	るーぺ
🔎	るーぺ
💡	でんき
🔦	らいと
🏮	ちょうちん
🪔	らんぷ
📔	のーと
📕	ほん
📖	ほん
📗	ほん
📘	ほん
📙	ほん
📚	ほん
📓	のーと
📒	のーと
📃	かみ
📜	まきもの
📄	かみ
📰	しんぶん
📑	しおり
🔖	しおり
💰	おかね
🪙	こいん
💴	えん
💵	どる
💶	ゆーろ
💷	ぽんど
💸	おかね
💳	かーど
🧾	れしーと
💹	ぐらふ
✉️	てがみ
📧	めーる
📨	てがみ
📩	てがみ
📤	てがみ
📥	てがみ
📦	こづつみ
📫	ぽすと
📪	ぽすと
📬	ぽすと
📭	ぽすと
📮	ぽすと
✏️	えんぴつ
✒️	ぺん
📝	めも
💼	かばん
📁	ふぉるだ
📂	ふぉるだ
📅	かれんだー
📆	かれんだー
📇	かーど
📈	ぐらふ
📉	ぐらふ
📊	ぐらふ
📋	くりっぷぼーど
📌	ぴん
📍	ぴん
📎	くりっぷ
📏	ものさし
📐	さんかくじょうぎ
✂️	はさみ
🔒	ろっく
🔓	ろっく
🔏	ろっく
🔐	ろっく
🔑	かぎ
🔨	はんまー
🪓	おの
⛏️	つるはし
⚒️	つーる
⚔️	けん
💣	ばくだん
🪃	ぶーめらん
🏹	や
🪚	のこぎり
🔧	れんち
🪛	どらいばー
🔩	なっと
⚙️	ぎあ
⚖️	はかり
🦯	つえ
🔗	ちぇーん
⛓️	ちぇーん
🪝	ふっく
🧰	つーるぼっくす
🧲	じしゃく
🪜	はしご
🪏	しゃべる
⚗️	ふらすこ
🧪	ふらすこ
🧫	ふらすこ
🧬	でぃーえぬえー
🔬	けんびきょう
🔭	ぼうえんきょう
📡	あんてな
💉	ちゅうしゃ
🩸	ち
💊	くすり
🩹	ばんそうこう
🩼	つえ
🩺	けんさ
🩻	れんとげん
🚪	どあ
🛗	えれべーたー
🪞	かがみ
🪟	まど
🪑	いす
🚽	といれ
🪠	といれ
🚿	しゃわー
🛁	おふろ
🪤	ねずみとり
🪒	かみそり
🧴	せっけん
🧷	ぴん
🧹	ほうき
🧺	かご
🧻	といれっとぺーぱー
🪣	ばけつ
🧼	せっけん
🫧	あわ
🪥	はぶらし
🧽	すぽんじ
🧯	しょうかき
🛒	かーと
🚬	たばこ
⚰️	ひつぎ
🪦	はか
⚱️	こつつぼ
🧿	おまもり
🪬	おまもり
🗿	もあい
🪧	ひょうしき
🪪	かーど
🏧	えーてぃーえむ
🚮	ごみ
🚰	みず
♿	くるまいす
🚹	おとこ
🚺	おんな
🚻	といれ
🚼	あかちゃん
🚾	といれ
🛂	ぱすぽーと
🛃	ぜいかん
🛄	にもつ
🛅	にもつ
⚠️	けいこく
🚸	こども
⛔	だめ
🚫	だめ
🚳	じてんしゃ
🚭	たばこ
🚯	ごみ
🚱	みず
🚷	あるき
📵	でんわ
🔞	おとな
☢️	ほうしゃせん
☣️	きけん
⬆️	うえ
↗️	うえみぎ
➡️	みぎ
↘️	したみぎ
⬇️	した
↙️	したひだり
⬅️	ひだり
↖️	うえひだり
↕️	うえした
↔️	みぎひだり
↩️	かえり
↪️	かえり
⤴️	かえり
⤵️	かえり
🔃	まわる
🔄	まわる
🔙	もどる
🔚	おわり
🔛	はじまり
🔜	つぎ
🔝	いちばんうえ
🛐	おいのり
⚛️	げんし
✡️	だびでのほし
☸️	だるま
☯️	たいき
✝️	じゅうじか
☦️	じゅうじか
☪️	つきとほし
☮️	ぴーす
🕎	めのーらー
🔯	ほし
🪯	ほし
♈	おひつじざ
♉	おうしざ
♊	ふたござ
♋	かにざ
♌	ししざ
♍	おとめざ
♎	てんびんざ
♏	さそりざ
♐	いてざ
♑	やぎざ
♒	みずがめざ
♓	うおざ
⛎	へびつかいざ
🔀	しゃっふる
🔁	りぴーと
🔂	りぴーと
▶️	さいせい
⏩	はやおくり
⏭️	つぎ
⏯️	さいせい
◀️	もどる
⏪	もどし
⏮️	まえ
🔼	うえ
⏫	はやい
🔽	した
⏬	はやい
⏸️	ていし
⏹️	ていし
⏺️	ろくおん
⏏️	とりだし
🎦	えいが
🔅	あかるさ
🔆	あかるさ
📶	でんぱ
🛜	でんぱ
📳	ばいぶ
📴	でんわ
♀️	おんな
♂️	おとこ
⚧️	とらんすじぇんだー
✖️	かける
➕	たす
➖	ひく
➗	わる
🟰	いこーる
♾️	むげんだい
‼️	びっくり
⁉️	びっくり
❓	はてな
❔	はてな
❕	びっくり
❗	びっくり
〰️	なみなみ
💱	かわせ
💲	どる
⚕️	いしゃ
♻️	りさいくる
⚜️	ゆり
🔱	さんご
📛	けいこく
🔰	しんじゅしゃ
⭕	まる
✅	ちぇっく
☑️	ちぇっく
✔️	ちぇっく
❌	ばつ
❎	ばつ
➰	るーぷ
➿	るーぷ
〽️	うた
✳️	ほし
✴️	ほし
❇️	きらきら
©️	こぴーらいと
®️	とれーどまーく
™️	とれーどまーく
🫟	ひまつ
🔟	じゅう
🔠	あるふぁべっと
🔡	あるふぁべっと
🔢	すうじ
🔣	もじ
🔤	あるふぁべっと
🆎	えーびー
🆑	しーえる
🆒	くーる
🆓	ふりー
ℹ️	いんふぉ
🆔	あいでぃー
Ⓜ️	えむ
🆕	にゅー
🆖	えぬじー
🆗	おーけー
🆘	えすおーえす
🆙	あっぷ
🆚	ばーさす
🈁	ここ
🈶	あり
🈯	ここ
🉐	とく
🈹	せーる
🈚	なし
🈲	だめ
🉑	よし
🈸	もうし
🈴	ごうかく
🈳	あき
㊗️	めでとう
㊙️	ひみつ
🈺	えいぎょうちゅう
🈵	いっぱい
🔴	あか
🟠	おれんじ
🟡	きいろ
🟢	みどり
🔵	あお
🟣	むらさき
🟤	ちゃいろ
⚫	くろ
⚪	しろ
🟥	あか
🟧	おれんじ
🟨	きいろ
🟩	みどり
🟦	あお
🟪	むらさき
🟫	ちゃいろ
⬛	くろ
⬜	しろ
◼️	くろ
◻️	しろ
◾	くろ
◽	しろ
▪️	くろ
▫️	しろ
🔶	おれんじ
🔷	あお
🔸	おれんじ
🔹	あお
🔺	さんかく
🔻	さんかく
💠	だいや
🔘	らじお
🔳	しかく
🔲	しかく
🏁	ちぇっかーふらっぐ
🚩	はた
🎌	にほん
🏴	はた
